hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
26eb25e372afb64b8fa3b67b2732b1e376dc8e11,2.607142857142857,2.607142857142857,0.0,0.0,28,28
cc837bd95f5fa0a6e8cd46c4369a9b1787fff630,1.0,1.0,0.0,0.0,1,1
bd561980b7a25ed646c269cae8a3c3a968555c04,1.6666666666666667,1.2222222222222223,-0.4444444444444444,-0.0017497812773403323,6,9
748b5ffdfc1c8a1d1d077f6cf15fad8d024cbe51,1.25,1.25,0.0,0.0,8,8
ae63dd4a35da5865bc1b8112e44be9e9d1b00fce,1.25,1.2857142857142858,0.03571428571428581,0.011904761904761937,8,7
98f31daf7d4c5b804eb171a76d1b5f876e51ebc7,1.6923076923076923,1.7692307692307692,0.07692307692307687,0.006410256410256406,13,13
d0f16a96fcaaadb6b307e104c87c54ca8bce8a8b,1.75,2.5,0.75,0.03,4,4
eba1b50adacf7478a411e2e9198aaf73042b839f,3.0,3.0,0.0,0.0,1,1
3dd48639eff9c73bd09f6b611831b09915bc2574,1.7692307692307692,1.7692307692307692,0.0,0.0,13,13
f80dd43d7462994f1504d24c3f1045eaaf474674,1.0,1.0,0.0,0.0,1,1
d1c7b49a1f0f1eb1543923147e73d06f43ffeb26,3.169811320754717,3.2962962962962963,0.12648497554157911,0.0026911696923740238,53,54
e16836f8ca733d315a60128777de2541aa0213c2,2.607142857142857,2.8,0.19285714285714262,0.0015807962529273984,28,30
992db1dbeb2d8e8982178f026f26a15cd319065e,1.7857142857142858,1.9285714285714286,0.1428571428571428,0.003968253968253966,42,42
b9ec206cd485d27374002ea634798470e4c3c32b,2.0,1.6666666666666667,-0.33333333333333326,-0.023809523809523805,2,3
4af56a6ce7db39e55c5788aefaf4109a86c28552,1.6666666666666667,2.0,0.33333333333333326,0.018518518518518514,3,2
982295bc86acc2f8db5228983cdbf644d8ed8fc6,1.0,1.0,0.0,0.0,2,2
09c7a375cd6cd38b1a9e43b7efaaa6e4482885da,2.25,2.0,-0.25,-0.005813953488372093,4,7
b1d34832f35edb836647a1ab3ddc627ce2b1e3e3,3.0,3.0615384615384613,0.06153846153846132,0.0012066365007541435,65,65
7596432b228bd8b800a1973aea483bf43ff288b2,3.1311475409836067,3.0153846153846153,-0.11576292559899137,-0.001677723559405672,61,65
c0c188ca0f2c79dbb4a077701c2cda0bea80fdcc,3.1372549019607843,3.1372549019607843,0.0,0.0,51,51
ec9f773f95e2b26c128cf55ad115a52dcb574b6a,2.5714285714285716,2.7142857142857144,0.1428571428571428,0.005714285714285712,14,14
d0cf413eaa6274fe4449bc9d567a480958967c23,2.7142857142857144,2.6,-0.11428571428571432,-0.009523809523809526,14,15
8300465465b6fa723336926f4472814d3a5a3d38,2.9571428571428573,2.9571428571428573,0.0,0.0,70,70
a2f68e5507f62bede005b35e63a0e1ef93c9a6a3,2.6,1.6470588235294117,-0.9529411764705884,-0.017647058823529415,15,17
7940dfd1f3fe96fabb87a63729f21b28581c40af,2.0,1.6666666666666667,-0.33333333333333326,-0.018518518518518514,2,3
4a92c3ab1f10a162dbe9908d987d53708c7319da,1.6666666666666667,2.25,0.5833333333333333,0.010606060606060605,3,4
6d1238446dbadab69ea702a2da50da87d42a8bdc,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
4ad4f413b4f9cebe346880bf8cce72a474fdf475,1.9285714285714286,2.2142857142857144,0.2857142857142858,0.021978021978021987,14,14
c5c4ab40325fa66672a6a733055203f00f3d5942,2.760869565217391,2.8043478260869565,0.04347826086956541,0.0006587615283267487,46,46
f504dc4bb3922ddf960bbe83412c4220fa2da51b,1.2,1.6666666666666667,0.4666666666666668,0.01666666666666667,5,6
09fcca336e0ce63725ff871d3b697f6a7b5995e2,0.0,3.0,3.0,0.13636363636363635,0,2
425ffa88dcd1217b7f27d6cfdf13d1155718a83e,1.4285714285714286,1.5,0.0714285714285714,0.0008305647840531557,14,14
0dbb5e0ddef4a9d85eb1606134bab113fd5c7ba5,1.0,1.0,0.0,0.0,1,1
e8a1a97a388e57e94961f9a16c01abd3bc7a2494,2.5714285714285716,2.642857142857143,0.07142857142857117,0.0071428571428571175,14,14
37c9a88edaf2fe01a0a1618378728f4b8a4572e5,2.2083333333333335,2.2083333333333335,0.0,0.0,24,24
1a4853cbdeb452ad7c43ede4af5254ffdab6a610,1.0,1.0,0.0,0.0,1,1
b4367da00cf155e9943efbe94761db0301ff4743,1.6216216216216217,1.6216216216216217,0.0,0.0,74,74
5c3e9934dcc52a09ad3816b3930caec95175a49c,1.5,1.5,0.0,0.0,2,2
0063480126aa9c5031960640e737a4dc9dc84aab,3.0,3.0,0.0,0.0,2,1
8dfde8c3ab48ae2d44ee11e0c1118583b7a92cba,1.775,1.625,-0.1499999999999999,-0.002112676056338027,40,40
38b13fd3c183851a02497330cec7efc0da2af091,2.5625,2.5625,0.0,0.0,16,16
a629fabbc2f4333b46c77ca2043e61ac7a145714,3.0,3.0,0.0,0.0,8,8
2620c1fd45a5a090212c7f1490d90e49c78a0dfb,3.0,3.0,0.0,0.0,8,8
628e055ce94ad64c50bcf17b0e9d8e731cd42cca,2.2222222222222223,2.2222222222222223,0.0,0.0,9,9
6d8c48c58cbbc23e76e68e25a94e03becddfcd77,1.6666666666666667,1.6666666666666667,0.0,0.0,42,42
bb43870d8dbbbaa296e1487a18ce2dbd9b4ff637,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
d0f9b28a91459aa710349d6ae97c99aec153e317,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
88915dd5df81ff712ffb8e0e0951cc144776491d,2.28125,2.296875,0.015625,0.0004222972972972973,64,64
3acf53dc7391cfb58252c45ae2af1a23c13894a1,2.357142857142857,2.3793103448275863,0.022167487684729092,5.4870019021606665e-05,28,29
1e52b7b8288fb61f492e4cc1f21bebb87fa5257f,1.75,1.75,0.0,0.0,12,12
b8b4fee637f97348678dbc6a42d4820a25429820,1.0,1.0,0.0,0.0,1,1
1c502bb1802e7ca62dc77cc3ee7ca2610535e267,1.0,1.0,0.0,0.0,4,4
