metric,U,p_value,cliffs_delta
files,407450.5,0.10020808085726367,-0.042014248095551585
deletions,214103.5,1.8955359407508192e-75,-0.4966060848302455
insertions,221985.5,7.076240179103296e-70,-0.47807415592965297
lines,213775.0,1.8967323475103294e-75,-0.49737844446534374
deletions/insertions_ratio,293966.5,2.3217151527308943e-24,-0.2661899686223019
duplication_percentage,445968.0,7.223454652627527e-05,0.04854697639424433
