Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
143,f041fea490f050444de4a465103788a9f9bd2ca8,2023-04-19 02:45:10+00:00,3,4,35,39,False
147,91af69fa241a074d92e2930d0148056540ea4d9d,2023-04-19 06:30:37+00:00,3,4,13,17,False
151,f526b3c94307f4641c24e02537194f6de677df08,2023-04-19 13:59:55+00:00,1,2,2,4,False
153,ec43cca92d52f53e1e5514f1b685a09740e19614,2023-04-20 03:17:35+00:00,1,1,2,3,False
155,144a2e6f103359b6d70bb5f481c605cbbb00c3fd,2023-04-20 04:51:02+00:00,2,6,9,15,False
157,813163ecf70ad953a251bb990b176a1068bbf27c,2023-04-20 07:56:16+00:00,1,4,10,14,False
158,027577a2d4c7a6c57432118673359d259e05d923,2023-04-20 08:58:02+00:00,2,0,16,16,False
205,64cc41d14b56b910696e6d08ccfe61db9749b02b,2023-04-20 09:27:47+00:00,1,0,8,8,False
206,7e6c1f033f7de83498851dcc67f1c6b470c440f2,2023-04-20 10:55:09+00:00,2,6,5,11,False
207,cce41fa570a7b05653f989463c9f8625b6639151,2023-04-20 11:16:26+00:00,4,6,11,17,False
210,1dd538bcdd46ddf2c758f1c5c520a6dc6d656806,2023-04-21 04:01:27+00:00,2,2,6,8,False
211,cefadcaef2267e777ce686e6d2ebe570fb025cb4,2023-04-21 04:05:44+00:00,1,1,1,2,False
213,56dfe8661886afdcf98e0cee176cc00560e2bbf0,2023-04-21 04:14:00+00:00,1,53,53,106,False
216,addc30ed545f62d469ba5778e676662cdff60700,2023-04-21 08:29:57+00:00,1,18,14,32,False
217,3483fe63a3873c8ed3aab832239a86067fb0daf6,2023-04-21 08:35:19+00:00,10,23,62,85,False
225,bf993381103fd07a868ed2bdd7235fcdc92e7a93,2023-04-24 03:05:59+00:00,1,1,1,2,False
227,239d1bd3ca2ac1c2b5027ec256589b9d167449f1,2023-04-24 04:32:20+00:00,1,1,0,1,False
228,1945fda433990bab848283c9f18804498b3ec176,2023-04-24 04:33:00+00:00,1,1,1,2,False
229,c72f24cbade233587fa3b9266654a0b3f9dfd73a,2023-04-24 04:33:24+00:00,1,2,7,9,False
232,cffeec784b5a7bca01c5c87f74457fcabcc4692a,2023-04-24 04:41:38+00:00,5,10,52,62,False
235,41ae326d68f63bd3b34cbbd475e8cad84b481b24,2023-04-24 06:54:51+00:00,1,0,16,16,False
236,a7998e24168b066256b74d408eeb3f42c4e93103,2023-04-24 07:50:41+00:00,1,1,21,22,False
237,238f873dc8ceb1aeff3da55d98118ef566bca261,2023-04-24 07:51:00+00:00,1,1,1,2,False
238,078ee23fb101deb30c53460f8308b631ba92a501,2023-04-24 09:27:19+00:00,8,10,27,37,False
242,79019aece234fece8b6b713c107fadc25a525ad7,2023-04-25 04:18:19+00:00,6,55,35,90,False
247,aec463284e144a3f07bd21087e7899ddd6861b48,2023-04-25 06:58:09+00:00,1,2,8,10,False
248,0eb14fd0ad61c0c70aafd8ab70094b3fd18b3a39,2023-04-25 08:03:27+00:00,1,1,40,41,False
249,711e076fcd7d01ec5c5c061dc321a3bae5a0066f,2023-04-25 09:14:03+00:00,2,47,46,93,False
250,a613d8fe8396eed60132553fd2ca8677b8d3c9bf,2023-04-25 10:57:39+00:00,2,0,24,24,False
251,68bec4a755cb926d4e39f8dd58290768b4e37500,2023-04-25 10:58:37+00:00,3,1,33,34,False
252,27147189c8457b5570dfbe6958764e53a56facc0,2023-04-25 11:10:22+00:00,1,0,16,16,False
257,b757d5efeeecd98f1f231676aabd389d399f692f,2023-04-26 06:37:43+00:00,1,1,1,2,False
259,26dcd4a7e3529018fc74c385dfd312ba4ac4018c,2023-04-26 07:24:46+00:00,2,4,12,16,False
260,286a6f90b0b3c0aa76ca42c28cb57e8de5ab6870,2023-04-26 08:28:12+00:00,1,0,8,8,False
262,64fed15aa010bc02fc6f6ad5eb4ec67b7bd6d768,2023-04-26 10:50:25+00:00,3,5,0,5,False
265,763c58c9283078ac12f81271b9a76c4081898861,2023-04-27 04:53:53+00:00,1,0,8,8,False
267,a44cd52c5523b730609a4249119b4815d11320d9,2023-04-27 12:38:10+00:00,7,43,137,180,False
271,8cda255a6ffb3bd26b95c270b52fdf822807a31d,2023-04-28 03:43:21+00:00,3,6,39,45,False
273,4c06584bf5fb2fe2d69c1ad86790ac1bb9e9cff6,2023-04-28 04:03:47+00:00,1,5,0,5,False
