hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
dddbdffe46d089c91665ee9b58b1fb83204037eb,1.7906976744186047,1.7906976744186047,0.0,0.0,43,43
f326dbab6b9429bf29f13146158418d7994c0f89,1.0,1.0,0.0,0.0,2,2
a94fba95c6a10e9b338a53edc6b68e1861788533,1.0,1.0,0.0,0.0,2,2
6eb9be3def221b8a178764b1f02c31786fdccc8d,1.0,1.0,0.0,0.0,1,1
e3d4a1b530948559eb1c533f19c12465c197d445,3.0476190476190474,3.0454545454545454,-0.0021645021645020357,-3.0062530062528275e-05,21,22
7633b34ae88efd71e1bb1132d1b6f355919c2bfb,1.0,1.0,0.0,0.0,1,1
38170b41f01a0158345e1522df005cfe50a95b6b,1.0,1.0,0.0,0.0,1,1
1cda00fbc6389444cb5d4e02c6ee599c8b9472dd,1.6666666666666667,2.0,0.33333333333333326,0.015151515151515148,3,2
a0e76efb97f708afdd0cf8b947eb57d1e26eaa79,1.0,1.0,0.0,0.0,2,2
349274569893549bdc6b18db3b55bb20d017f5f2,1.0,1.0,0.0,0.0,1,1
1584e1e0eccbaf759293bf5b36fe92f9030f71dd,3.1372549019607843,3.176470588235294,0.039215686274509665,0.019607843137254832,51,51
4d52affbb227e8aa5607990d0da38f43a96157f1,1.3333333333333333,1.4,0.06666666666666665,0.009523809523809521,6,5
5a3e410eb8f89819c9a391aa289533110616c612,8.0,3.75,-4.25,-0.14655172413793102,1,4
cd26f37871470010066a86b424b40fb63d6aeb3f,12.75,14.0,1.25,0.016666666666666666,4,4
c14fad420bcdac8038970e7130ec8d5571a1db5f,1.9285714285714286,1.9285714285714286,0.0,0.0,42,42
bff38ef5ed75ccb23ae0c1c7c3d4f2a370fb2d08,1.0,1.0,0.0,0.0,1,1
de16090a2040f49dbec13a7204e41655c96a8e95,1.9,2.0,0.10000000000000009,0.00555555555555556,10,10
6bed31bab22f0289b4d7f3ae4789d9e2ca8479c1,1.0,1.0,0.0,0.0,4,4
8bd6797543eb499c58a13d9b786e7de4fb7e0e0f,3.0,3.0,0.0,0.0,2,2
7e904fc6e8e502e772e5b92272be699c6033b755,2.5,2.5,0.0,0.0,2,2
98cc45a29f546bcd9a3ad766b217009cb3666b42,2.8,2.8,0.0,0.0,10,10
230bcd982f67dc45bb0038fa41d64153dabb2513,1.6470588235294117,1.6470588235294117,0.0,0.0,17,17
66cf5a328acd54502676da483eb82c5ca581ea00,2.732142857142857,2.793103448275862,0.06096059113300489,0.0011501998326982055,56,58
b44641250515ac0651085f8aa80891a6a21a1f3e,3.217391304347826,3.217391304347826,0.0,0.0,23,23
b86c4aaa5be2c0e9ec07524740a28fa433723fc1,1.6666666666666667,1.6666666666666667,0.0,0.0,6,6
bfece057ce7b94abd76fd95461a3f1ced5cf16a1,3.3333333333333335,4.0,0.6666666666666665,0.11111111111111109,3,3
20418aee8fb5f9b4053f732b6bce5b00229d8295,1.6470588235294117,1.5789473684210527,-0.06811145510835903,-0.0011949378089185796,17,19
f9b250ecbb4a771dc39ea56270e40bba89697613,1.0,1.0,0.0,0.0,1,1
bad7641299576372d31055d0fc6c82ff6cd5a1ed,1.5555555555555556,1.5714285714285714,0.015873015873015817,0.0014430014430014378,63,63
a6de24d80110c445a6d66e26cfa6e1df78a7a465,1.3846153846153846,1.3846153846153846,0.0,0.0,13,13
f3951cc29ebd6761f7f613cc3a6a9c53d89c113a,10.0,10.11111111111111,0.11111111111111072,0.009259259259259226,9,9
dbbe9ff6deea62f95c145bfb92957348e12eea5a,1.5,1.5,0.0,0.0,2,2
872b38f6565a4a642210e296fd1059ce0fda19bd,1.5,1.5,0.0,0.0,2,2
