hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
cc16e227062b02c8f58cfb60da201e1ae1256c52,2023-04-16 14:34:33+00:00,1,20,20,40,0,False,2,0.0
5988b0ea4239c0bf2c97942dbc0bb09cb164fefa,2023-04-17 14:37:57+00:00,2,112,112,224,0,False,0,0.0
cdd9e39b925ce15983bba273ea8e8c948514bd05,2023-04-18 01:23:41+00:00,2,113,113,226,0,False,0,0.0
548eec59ec369b9b914e6a42a8646cf968b59277,2023-04-18 06:40:19+00:00,6,6,31,37,0,False,21,32.08
2fdf292db476f2f376a0d4412e04f57f29db0b45,2023-04-19 03:59:20+00:00,2,2,160,162,0,False,0,0.0
8bb88b7cb468f1ec5c78ce074d74789e54f0a74c,2023-04-19 03:59:29+00:00,2,110,110,220,0,False,0,0.0
57e2eb498f559b016dfadc932282a360d773ac4a,2023-04-19 06:12:32+00:00,4,4,16,20,0,False,22,0.0
ca0f5e9288fc7032a28423d0f929273ba7c60246,2023-04-19 06:44:30+00:00,3,6,7,13,0,False,0,0.0
8715ff935353bf15580c4b4133f6c17e4a4a38b2,2023-04-20 02:08:22+00:00,2,152,152,304,0,False,0,0.0
72c847e2b1213ae3e2f415b2975caf001ff0ca6e,2023-04-20 03:42:01+00:00,1,3,3,6,0,False,0,0.0
b91da1d6ccd68c94daf794688bba084be5039e7f,2023-04-13 04:25:03+00:00,1,0,2,2,0,False,0,0.0
f57e6e06f2f3b546407e1fc957b616189a731986,2023-04-13 05:31:24+00:00,1,0,9,9,0,False,0,0.0
9238f7c154ec66200021041186f269229f8126b5,2023-04-13 09:07:20+00:00,1,0,1,1,0,False,0,0.0
d0198b9545ba5f6f3f669e16ccc1c87efd111452,2023-04-13 10:54:35+00:00,3,25,27,52,0,False,93,0.96
0d13a3680234ba92885a705954913462222cd897,2023-04-13 11:20:29+00:00,1,7,16,23,0,False,7,0.0
1b98a8bf21376fc3762a1ead222782e809c7f9db,2023-04-14 01:57:30+00:00,1,1,1,2,0,False,7,0.0
515c18882bcdabe3325a65241ab603e9c3f434f3,2023-04-14 05:36:47+00:00,1,1,0,1,0,False,0,0.0
71620230fb9d5eec2d6bafb7735ab651f1fcbefa,2023-04-17 07:45:01+00:00,6,83,20,103,0,False,35,0.0
a25f66e56afa6418b9730d0a87f6e644fe00e622,2023-04-17 08:28:21+00:00,7,8,271,279,0,False,121,0.0
35eeac0cc688a5fe81b87b394c31c20809497114,2023-04-17 09:54:23+00:00,2,7,17,24,0,False,2,0.0
91507b1c3299a1a1d757583735a014ffc635c03c,2023-04-17 10:31:55+00:00,1,1,4,5,0,False,1,0.0
d774d0ea8493b388d423d89ddb9645edb800fa8b,2023-04-17 11:11:25+00:00,1,1,0,1,0,False,104,0.0
29d0d5608a4afbf7b29ab0cccd28b218b3bbd783,2023-04-17 11:19:04+00:00,2,2,8,10,0,False,2,0.0
9b7c0f70b764d2ebe5055cb4cbf2d9ac8d617a99,2023-04-17 11:38:25+00:00,1,1,0,1,0,False,0,0.0
7fa1954ca08b03f47f1580b8032c90deccae89f6,2023-04-18 02:23:34+00:00,2,7,10,17,0,False,6,0.0
f4c7a8a2ec03bbe26971e84d380cb78a3bfe7c68,2023-04-18 02:39:04+00:00,2,13,3,16,0,False,0,0.0
b5425a2fbd32496bd95cb8d822fab91e5930b8f5,2023-04-18 03:40:22+00:00,3,5,35,40,0,False,3,0.0
b3b2b2027bce121955279a17351d058b78861f2c,2023-04-18 03:58:01+00:00,1,8,13,21,0,False,1,0.0
bd50ce381f1cb713f904ee905f0741fda1753d05,2023-04-18 05:46:37+00:00,1,10,10,20,0,False,1,0.0
6ed4c912045b441db600ad577aec68a5ac576902,2023-04-18 07:58:54+00:00,2,2,12,14,0,False,7,0.0
916aa04067389740ad37e3cffbbc86b3c85e4e63,2023-04-18 08:10:10+00:00,1,1,2,3,0,False,3,0.0
fca36db68c88a6bc3d8cccc54e0b00ba662674ef,2023-04-18 09:42:01+00:00,2,16,12,28,0,False,8,0.0
0f1b1e4b6e68fd45b961c88885bcd5346668d2db,2023-04-18 10:08:42+00:00,1,1,1,2,0,False,4,0.0
962bbeb0e6c255ed1b115db7d5d71e5e90fc771e,2023-04-19 05:10:24+00:00,2,6,6,12,0,False,88,0.0
f39920c6f783f2bf1778c6f085bdfb9c76772165,2023-04-19 06:13:58+00:00,1,52,61,113,0,False,14,0.0
d1650bf5d9078fddcf00b745ce70a94bc691031d,2023-04-19 06:17:09+00:00,1,3,4,7,0,False,5,0.0
b3d67c8e844af31d4a02c699d5ac2d2b7a1675ce,2023-04-19 06:58:27+00:00,1,16,20,36,0,False,50,0.0
af8662bbd685fd3a53217c33b3848cf4a2bf6980,2023-04-19 11:05:20+00:00,3,1,27,28,0,False,3,0.0
3d68290e8838097b31ef2f007c6ccca4bc8a63b0,2023-04-19 13:19:17+00:00,1,3,2,5,0,False,1,0.0
ecdf8136c31cf1f1ff4d2d8a93aca3272001116d,2023-04-19 13:35:58+00:00,3,6,16,22,0,False,11,0.0
