metric,U,p_value,cliffs_delta
files,1491.0,0.558114703678033,0.07189072609633357
deletions,1335.0,0.7502306152135214,-0.040258806613946804
insertions,1980.5,0.0008214409592211707,0.4237958303378864
lines,2050.0,0.00018486420008605083,0.47375988497483823
deletions/insertions_ratio,964.5,0.03320541566467488,-0.2720754716981132
duplication_percentage,,,0.0
cyclomatic_complexity_delta_cc,1298.0,0.1849039813307939,0.17572463768115942
cyclomatic_complexity_delta_cc_norm,1200.0,0.5128899624639787,0.08695652173913043
