hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
fdd9c0018423c53af1d3de9d29e3de51569ac9b1,2023-03-04 11:31:25+00:00,5,78,125,203,0,False,1,
3633184fff27cf32d5207bc7000d561f4750b872,2023-03-04 11:32:44+00:00,0,78,125,203,0,False,0,
f967240e5865547968e0f33ff82fa125202e2a25,2023-07-17 04:05:39+00:00,0,1,1418,1419,0,False,0,0.0
c8fd9499d6ffa7455bf341a4f0e4a8415f5abc15,2023-12-29 10:42:42+00:00,6,162,201,363,0,False,26,0.0
b8aa2974682ff1c17fcc2d19211d7e6f4b21d4c1,2023-12-29 11:03:59+00:00,11,0,573,573,0,False,21,0.0
87cc5d839bb8906e480e6e7e182c6c98b96ee5d0,2023-12-29 11:12:14+00:00,5,0,738,738,0,False,22,0.0
9c355a86105b7aeb7fc919db5cba3ffacbf99522,2023-12-30 18:19:26+00:00,0,0,2748,2748,0,False,0,0.0
