hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
c7f83d9437cc441779a4e7171089ad24a51055ec,2023-05-07 07:39:32+00:00,1,0,5,5,0,False,7,0.0
0428ac499ca090cf94d80eb9f8162879fd5b5e31,2023-05-07 07:41:40+00:00,0,4,26,30,0,False,0,0.0
e7d1b3132cf208cca0cdea205c11b9bd6bfbf611,2023-05-07 07:43:48+00:00,18,828,0,828,0,False,0,0.0
ffd3e01c1eeafef7a81394d15019e9b719213998,2023-05-07 08:21:29+00:00,1,1,1,2,0,False,11,0.0
3c5b3f622113c251d9d7b90e67bdefa36b490f3a,2023-05-07 08:22:24+00:00,0,1,1,2,0,False,0,0.0
4f591b1281a37943dc559dddca5811f0fcc87faa,2023-05-07 09:18:03+00:00,2,10,9,19,0,False,5,0.0
02cbb47208854056fb7ce398d058bd76df87fcba,2023-05-07 09:20:56+00:00,1,2,7,9,0,False,5,0.0
71504803ae6061a4ff7fbfc742fbb415edbf68b1,2023-05-07 13:41:41+00:00,2,8,381,389,0,False,0,0.0
a201c420cb74db6905ed462639138568b8867045,2023-05-07 13:50:58+00:00,0,19,396,415,0,False,0,0.0
d84879f568c701dff6de82531cc90cf850a3c872,2023-06-10 01:17:07+00:00,1,0,1,1,0,False,23,0.0
8fe75863cab69c81f4197c73d2d2543332b2d673,2023-06-10 01:17:51+00:00,0,0,1,1,0,False,0,0.0
9cf006b9899cc59e5efaa25900e4e4ea748eb22a,2023-06-10 01:25:13+00:00,1,0,12,12,0,False,5,0.0
04ad7d1b439d1198c7fcd285b1d4942a2aae8366,2023-06-10 01:25:36+00:00,0,0,12,12,0,False,0,0.0
10a8248ed95bc6479cb319f17c69caadd7c82a31,2023-06-10 02:05:58+00:00,1,1,1,2,0,False,5,0.0
a7ddb1753ef3f2244992b34a3b70d17429452845,2023-06-10 02:06:17+00:00,0,1,1,2,0,False,0,0.0
5a4da5993109339f477cf6d890b9f8bfc0f37db8,2023-06-10 04:29:15+00:00,1,0,53,53,0,False,7,0.0
14ce1d4afb304adf82325bf12d6043f1cbf2c738,2023-06-10 04:35:30+00:00,1,22,1,23,0,False,7,0.0
1563db75f90ab1f649c7724c4b028b491b623fbd,2023-06-10 04:38:09+00:00,0,22,54,76,0,False,0,0.0
fa80fc294c20e290ac1032269fbfda23b3feeac7,2023-06-10 09:52:25+00:00,3,652,15,667,0,False,0,0.0
88d8bd773e18a57874872cd9980c42822d070304,2023-06-10 09:53:32+00:00,0,652,15,667,0,False,0,0.0
ffaed5dc8c6845abd3f2a69bbd5748e12b254803,2023-07-17 03:31:00+00:00,5,0,113,113,0,False,4,0.0
8630db73084c98aa9131b62d72f32ece16e9e037,2023-07-17 04:00:22+00:00,1,1,1,2,0,False,3,0.0
cf6e4f4f3049ed7399e334cebc13d339fd1ae019,2023-09-07 12:51:31+00:00,1,7,5,12,0,False,7,0.0
17fa2ab873d65fb4612efc90c05dd0e13147638b,2023-09-07 12:52:06+00:00,0,7,5,12,0,False,0,0.0
429aeb8f1ba5051af84644f1f350fca45a7a1798,2023-10-05 15:21:09+00:00,1,46,64,110,0,False,5,0.0
1583765997deb960653f03cc3b07a05ec72a41fc,2023-10-05 15:23:25+00:00,1,0,3,3,0,False,5,0.0
0ce1b3ae24d6c1934bee29b10bb5db75de7fa19c,2023-10-05 16:27:57+00:00,1,3,0,3,0,False,5,0.0
e604dc2fb9fd79f1f0b9fc7d6e9f51493ededa19,2023-10-05 16:28:34+00:00,0,46,64,110,0,False,0,0.0
6e140a6c67cc11c4fe994fb9b1328945c8556f1a,2023-10-07 14:47:52+00:00,1,2,14,16,0,False,4,0.0
291f000514783509505b48095a6a33e253b55c40,2023-10-07 14:50:27+00:00,2,4,4,8,0,False,4,0.0
3ce0570e3f922efe2a5bf918057c34978a07c404,2023-10-08 00:34:31+00:00,0,6,18,24,0,False,0,0.0
3a9a87d62deac757eb3655094c297ed61a4145a6,2023-10-08 12:32:42+00:00,2,14,51,65,0,False,18,0.0
40566fc3c6a83ceec930cb0b202ebaa4b6e26f9e,2023-10-08 12:36:06+00:00,0,14,51,65,0,False,0,0.0
eb5ef4dfbd029a7b8b22ec15ab2951dc10cece48,2023-10-08 12:54:29+00:00,4,68,455,523,0,False,34,0.0
