hash,duplication_percentage
d42dbf5e682765452ed3e0728e2e0322aeedce22,6.77
32d59fedaff0ad0b35b70e3d97ae30290742d42e,6.77
50bf4049b53dc20b1fead63686e93036cf5335db,6.77
d03fb3a8ef0d2e01f838ffb8a92777f7f877b362,6.78
537a75081cfcfff4de8a0844f017c649ea92ef12,6.78
fb2fe562ad9eff7abea7ffc6c3f24cb63ee10744,6.78
33530808389e11b991bee2163785d52d60854714,6.77
4065fe76266a6d6e7c2040dc52cd3769e4bf38f4,6.77
8886cc79b07344ffb50c20a87f5ed1b2d0dc2199,6.77
c699d2fddf3f52364561023c0973922fb5552d9c,6.75
3a302308954a0addfd7f1769b9a6ca4a60ac2e20,6.75
a1f26f2e55302693c6ec1a86eee5cb0db27f1eef,6.75
08b5a5c86d91ec026410529179f95dfd7c7804af,6.75
3ff35462961ac672808881021147c3856ea7212d,6.62
180a315c4e067a53bb2b62c5c152fae5ea8ed214,6.62
1fc9cac9756846f707ed50729cc42d23e2a61282,6.61
3f2dc963219942c6571327d918855dcfcc73f6b3,6.61
fc6b5b6b03f750bb24d43807f961b3670c05a05a,6.61
26eb25e372afb64b8fa3b67b2732b1e376dc8e11,6.61
8689087c536660a263d84186cc464794dad8912f,6.61
978124bcbe217138ba0d33c7b4276f7f633cdcca,6.61
85b85b144ca8b1c65234811b298f7fa96840b335,6.61
48fbd4f8a973e9fc9e4677982dc3ac69affd2c7a,6.61
9561aceb6681caae1b2bec06cf911dbf6340e064,6.46
cc837bd95f5fa0a6e8cd46c4369a9b1787fff630,6.46
c0e767a1da0d7bdef346b1aa1a9f76a1a9d4ac54,6.46
db61ecbece0a27879cab9506cfca51bfe84e5211,6.46
aa24a3bd1e78fcb2dfc14c7a0f0ee43da9b3c27f,6.46
b0ec19684479a5a87c14c829462bf876c3a196b2,6.46
d6e8e1f94e5c4717843692c929e0f2ae701d8924,6.46
efc764aa169b1844233e7f8e1acb2181b7310fdd,6.46
0ded36e1f3cdb059c5937c82ac5d8d09ebe2615e,6.46
7121c7bdbe94fa4ad7f4b938ba03a11691312635,6.46
94d722c383d182854b59692fd93bb8ecd4183984,6.46
9efcdb9f20e431ec5d237f98a8fc93c3cdef8b03,6.46
54ff61b7b9410a5eeb3d6dcb03ccdc54721a9146,6.46
803a367af81545874f91bee61c9af1bab1b0e00b,6.45
748b5ffdfc1c8a1d1d077f6cf15fad8d024cbe51,6.45
ae63dd4a35da5865bc1b8112e44be9e9d1b00fce,6.45
d5af0c9c27fd3ece9c21ad0c36d260c1bab081a0,6.55
516cae20faba7e0ece52dcc1d7ca7e9600ad31af,6.55
98f31daf7d4c5b804eb171a76d1b5f876e51ebc7,6.55
912eee4ceec53ebba03edf4acbd0276f29095b96,6.55
3654f542a5310d39dc10aab34d15396a578add0f,6.55
b494638c7a65e2be3cdcad73ef2c35a33d0e0a25,6.55
d0f16a96fcaaadb6b307e104c87c54ca8bce8a8b,6.54
f1d0b22a70157d4a66500bbabc29c87d8b45879b,6.54
6ee1a300d6faa5ba203e30edf4911ffd01bb3889,6.54
eba1b50adacf7478a411e2e9198aaf73042b839f,6.55
3dd48639eff9c73bd09f6b611831b09915bc2574,6.55
eabd93b597aa0de8a86b99637426ab95de763202,6.55
542dda049638a723dc75aa54801c7c5c9e97e406,6.55
91816c9ecbad4a45cf9ce4656f9be80a26ddffe8,6.55
681434c559617670ffe4a72dc24a688a46ea50d3,6.55
f80dd43d7462994f1504d24c3f1045eaaf474674,6.55
b34e9c23aa518896fddf0bc8dfcefef9ef5aca22,6.56
992db1dbeb2d8e8982178f026f26a15cd319065e,6.56
139b7dc3357bed56481812e47fefaeae980fe5bf,6.56
bdbcc048ef55c63858c182b58aa1ef58ae168238,6.56
1796d70d5c50d206507287b88c22763b67c2ec9f,6.56
f27e91185f9f97b7a16f4465df27d4792ee77358,6.56
0f5e6a229359c6c2674be995640df9a32efd38f6,6.56
6b071303d673cb1f4bbe39016f1a9c730c5b7685,6.56
4296be71103a138de9814aa6f5f3e2b87eeecaa1,6.56
b9ec206cd485d27374002ea634798470e4c3c32b,6.56
4af56a6ce7db39e55c5788aefaf4109a86c28552,6.56
1edcd162d85b68689604bafff048d54e2956efa9,6.55
982295bc86acc2f8db5228983cdbf644d8ed8fc6,6.55
6caceb9c47e30efcb3d47f613f4f17c5ddba496c,6.55
1b114e492af929650cb8797c943f767372029af0,6.55
6347a23fa230d8b2c01887cdf06dd973620a6a68,6.55
e89830365df95c1e7709af117fb7ad6f5dad0fee,6.55
09c7a375cd6cd38b1a9e43b7efaaa6e4482885da,6.55
8265b3b2957f2f81fc23b8817128cbf019841008,6.51
aa849c6d086a25dbe3fddba2e7f51c574ea61e72,6.51
05354f90f8849ba2b107f41515842125a19185d9,6.51
7596432b228bd8b800a1973aea483bf43ff288b2,6.51
c0c188ca0f2c79dbb4a077701c2cda0bea80fdcc,6.51
ec9f773f95e2b26c128cf55ad115a52dcb574b6a,6.51
d0cf413eaa6274fe4449bc9d567a480958967c23,6.51
a2f68e5507f62bede005b35e63a0e1ef93c9a6a3,6.51
7940dfd1f3fe96fabb87a63729f21b28581c40af,6.51
4a92c3ab1f10a162dbe9908d987d53708c7319da,6.51
6d1238446dbadab69ea702a2da50da87d42a8bdc,6.51
2fd7f9be0b49c8f35418db81b1ea90ad7cc0a06a,6.51
25ed49bcf94189d0a66d8610d474a16ab467c345,6.51
30ee6677c0aa27c4310ad8977c411083638e9574,6.51
bca1aaed4fd43b3fcefd82158ed1f2c06bc02cc4,6.5
a2a6a553b2ad0a4f0586a7432d8daab406a6a611,6.5
ed0990efd30050484d00464cbebc73d539caf94e,6.49
f836e8aac0f45b77e4400cb9842392b6005f9a3d,6.49
1cc5d0eac06e678cc9d9851d9929f87f84ad9d43,6.49
2bef68b02f6e60112c6f8bcf28c20747dce24f33,6.49
ac627b146c0a9db8e7945780417cbb1c92235fda,6.49
5db3a6a4eab2d56bd55f2a42e734797180ae42c7,6.49
21e252c4da5b77d88f078c256459de2a563b6b30,6.49
4ad4f413b4f9cebe346880bf8cce72a474fdf475,6.48
af753a5a0ebfa9134c347b8a18a0a2ccf08a4dbe,8.2
a7fd221edbe72501f81b6a0285c7c0e099cb7a07,8.2
8b2ffbfef38440fe57a5ac2092fe125d6d450e7b,8.18
37ca9b1a432ae527d3d7810089434132648dd243,8.18
6d873e87b4be6d76af11339ccc20de898f6efb9e,8.18
a2d7229100be8051c4249dfb05608bca85f78b07,8.18
f504dc4bb3922ddf960bbe83412c4220fa2da51b,8.18
0f6e4c95adf88bb9c6104ec30beb691cf59748d6,8.18
dbff0806cf4b47ba4f00394d6ea82ed205d61889,8.18
39914963683503cad0674f30ce81c701eff7eba1,14.79
5dd4f25f1e1f14d9d3d995a7960bd52bcb8d131b,14.79
9f4266863cf273fd227c8c3da4a8dac4224f35cb,14.79
5d3aece6faf32efea0a341f6dd425b9558186ed1,14.67
09fcca336e0ce63725ff871d3b697f6a7b5995e2,14.67
2d1caac8be69ed65959f8a1627a7ea43d1dde9ad,14.67
9f60d515f9fc2fdb9257ff76ac92e7bc86c9b7b7,14.67
425ffa88dcd1217b7f27d6cfdf13d1155718a83e,14.67
0dbb5e0ddef4a9d85eb1606134bab113fd5c7ba5,14.67
f2ce2c09b572ea4dca5dc780bdae60b4fe6a1bf3,14.67
214c566a14b99866acf4f4dd1afe0d69196c8929,14.65
