hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
b9ec206cd485d27374002ea634798470e4c3c32b,2.0,1.6666666666666667,-0.33333333333333326,-0.023809523809523805,2,3
4af56a6ce7db39e55c5788aefaf4109a86c28552,1.6666666666666667,2.0,0.33333333333333326,0.018518518518518514,3,2
982295bc86acc2f8db5228983cdbf644d8ed8fc6,1.0,1.0,0.0,0.0,2,2
09c7a375cd6cd38b1a9e43b7efaaa6e4482885da,2.25,2.0,-0.25,-0.005813953488372093,4,7
7596432b228bd8b800a1973aea483bf43ff288b2,3.1311475409836067,3.0153846153846153,-0.11576292559899137,-0.001677723559405672,61,65
c0c188ca0f2c79dbb4a077701c2cda0bea80fdcc,3.1372549019607843,3.1372549019607843,0.0,0.0,51,51
ec9f773f95e2b26c128cf55ad115a52dcb574b6a,2.5714285714285716,2.7142857142857144,0.1428571428571428,0.005714285714285712,14,14
d0cf413eaa6274fe4449bc9d567a480958967c23,2.7142857142857144,2.6,-0.11428571428571432,-0.009523809523809526,14,15
a2f68e5507f62bede005b35e63a0e1ef93c9a6a3,2.6,1.6470588235294117,-0.9529411764705884,-0.017647058823529415,15,17
7940dfd1f3fe96fabb87a63729f21b28581c40af,2.0,1.6666666666666667,-0.33333333333333326,-0.018518518518518514,2,3
4a92c3ab1f10a162dbe9908d987d53708c7319da,1.6666666666666667,2.25,0.5833333333333333,0.010606060606060605,3,4
6d1238446dbadab69ea702a2da50da87d42a8bdc,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
4ad4f413b4f9cebe346880bf8cce72a474fdf475,1.9285714285714286,2.2142857142857144,0.2857142857142858,0.021978021978021987,14,14
f504dc4bb3922ddf960bbe83412c4220fa2da51b,1.2,1.6666666666666667,0.4666666666666668,0.01666666666666667,5,6
09fcca336e0ce63725ff871d3b697f6a7b5995e2,0.0,3.0,3.0,0.13636363636363635,0,2
425ffa88dcd1217b7f27d6cfdf13d1155718a83e,1.4285714285714286,1.5,0.0714285714285714,0.0008305647840531557,14,14
0dbb5e0ddef4a9d85eb1606134bab113fd5c7ba5,1.0,1.0,0.0,0.0,1,1
e8a1a97a388e57e94961f9a16c01abd3bc7a2494,2.5714285714285716,2.642857142857143,0.07142857142857117,0.0071428571428571175,14,14
37c9a88edaf2fe01a0a1618378728f4b8a4572e5,2.2083333333333335,2.2083333333333335,0.0,0.0,24,24
1a4853cbdeb452ad7c43ede4af5254ffdab6a610,1.0,1.0,0.0,0.0,1,1
b4367da00cf155e9943efbe94761db0301ff4743,1.6216216216216217,1.6216216216216217,0.0,0.0,74,74
5c3e9934dcc52a09ad3816b3930caec95175a49c,1.5,1.5,0.0,0.0,2,2
0063480126aa9c5031960640e737a4dc9dc84aab,3.0,3.0,0.0,0.0,2,1
8dfde8c3ab48ae2d44ee11e0c1118583b7a92cba,1.775,1.625,-0.1499999999999999,-0.002112676056338027,40,40
38b13fd3c183851a02497330cec7efc0da2af091,2.5625,2.5625,0.0,0.0,16,16
a629fabbc2f4333b46c77ca2043e61ac7a145714,3.0,3.0,0.0,0.0,8,8
2620c1fd45a5a090212c7f1490d90e49c78a0dfb,3.0,3.0,0.0,0.0,8,8
628e055ce94ad64c50bcf17b0e9d8e731cd42cca,2.2222222222222223,2.2222222222222223,0.0,0.0,9,9
6d8c48c58cbbc23e76e68e25a94e03becddfcd77,1.6666666666666667,1.6666666666666667,0.0,0.0,42,42
bb43870d8dbbbaa296e1487a18ce2dbd9b4ff637,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
d0f9b28a91459aa710349d6ae97c99aec153e317,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
1e52b7b8288fb61f492e4cc1f21bebb87fa5257f,1.75,1.75,0.0,0.0,12,12
b8b4fee637f97348678dbc6a42d4820a25429820,1.0,1.0,0.0,0.0,1,1
1c502bb1802e7ca62dc77cc3ee7ca2610535e267,1.0,1.0,0.0,0.0,4,4
7eb8e5849be9e34134eb5d5c6967691114042e23,1.0,1.0,0.0,0.0,1,2
de729a4a0cccd97a0a15baf55dff7cbe645d085a,2.9,2.9,0.0,0.0,20,20
85f4636ccfc20d3c7d4d4ebb52f635b9c08a3b61,1.0,1.0,0.0,0.0,1,1
812f87ed42c48fe543a4dd707da302af002c99f4,8.0,7.0,-1.0,-0.02631578947368421,1,1
8a7ef0d4ad510f4068e08b65d48f18ec3bd2e6ef,7.0,7.0,0.0,0.0,1,1
7ede618f1632938d1f0786c81eac3f82acb7d921,1.0,6.833333333333333,5.833333333333333,0.05833333333333333,3,6
0e8d20d1380064faccf18ec4a5c19e1246b96a9a,3.6,3.8,0.19999999999999973,0.04999999999999993,5,5
f0221f04b9ee7780d36d3ac7cb6063aef742722c,1.891304347826087,1.891304347826087,0.0,0.0,46,46
58eb4413670f968fac2fd39313162ac141d20933,1.0,1.0,0.0,0.0,2,2
7a8eb829383be20660a3b9525dfd01a13c34d618,3.1176470588235294,2.9473684210526314,-0.17027863777089802,-0.0051599587203302434,17,19
88dde9a4dde818bb588f7940b857e11c93bfacca,4.0,4.5,0.5,0.05,2,2
b26257492817795ce98da1f281a0f6c65ae6995f,1.5833333333333333,1.5833333333333333,0.0,0.0,12,12
62d80b9dcdb83ef731234b4b5975e113e23ba902,1.5789473684210527,1.5789473684210527,0.0,0.0,19,19
d7bf02ea60f3c4a4edd4122d55903f51e40a4b61,1.5789473684210527,1.5789473684210527,0.0,0.0,19,19
21938402cfdb5c08fe95b7ad2e82b7689ca4c4e5,1.0,1.0,0.0,0.0,2,2
72a60f1b60fd57ad0cb22c7ff3e571bedc188353,2.1,2.03125,-0.06875000000000009,-0.0018581081081081106,30,32
a6a2d7ece27a5de17c5ad2f8ffab053d0d6b16a4,1.0,1.0,0.0,0.0,1,1
fda839be4d42df50e6bafb655f8a0ac52788dcd6,4.0,4.0,0.0,0.0,2,2
7ce578f51c520c6721df8bfc100a3220203ccf88,2.75,2.5,-0.25,-0.00625,4,4
291979e0265f6432d615d897af87bdedcb94b835,1.0,1.0,0.0,0.0,2,2
6ad3b67188a5e22a8831dc9ca92d21fc31001189,1.4,1.6470588235294117,0.24705882352941178,0.0043343653250774,15,17
7bf73e64453f3c79fd32e647c991a6b508f136ef,24.333333333333332,24.333333333333332,0.0,0.0,3,3
054c7fcf03a855d4bcea44241e89ef4a09a4a81f,2.0,2.0,0.0,0.0,2,2
cf3046c803649c9eb93a2a595135248d97be6fd4,1.0,1.0,0.0,0.0,1,1
b7e246cc133505f5748abe50f1d8b35330be5eb2,2.2941176470588234,2.3529411764705883,0.05882352941176494,0.014705882352941235,17,17
85392364ea29042fe345d5ea8eea757c2a33e900,36.0,37.0,1.0,0.16666666666666666,2,2
a0b374d31e7c95ecc120a28082dff8924bafbd6b,3.0,3.0,0.0,0.0,1,1
4671fa01abb47c7d627d35afe04b59024a02e8c4,3.0,3.0,0.0,0.0,1,1
2ca8a0aec0856241a9d5a5373fd4d99fe6607019,1.52,1.34,-0.17999999999999994,-0.013846153846153841,50,50
ad5b0d80ae03cae572383a3c6aeddc9a92e49491,3.0,3.0,0.0,0.0,1,1
4de5b5077cd32932ef357cd4417f11f479b1fd89,2.625,2.625,0.0,0.0,8,8
032c8619ff15421843dd30ea9385653c13bfec01,1.0,1.0,0.0,0.0,1,1
b525f12242623d52054540711d06e9d60409631f,1.625,1.58,-0.04499999999999993,-0.001153846153846152,48,50
56be5968da2d7671ada1025a1b28b9a0d807d7b0,2.6666666666666665,2.7333333333333334,0.06666666666666687,0.005555555555555573,15,15
5cf6af8e1dbc15e1460bff95e5f4df2d3f71f3e5,1.0,1.0,0.0,0.0,1,1
13f6f027dafd9a7c352539982a185b906a1b1878,1.1666666666666667,1.5,0.33333333333333326,0.018518518518518514,6,6
c43dee099accd9344c499b6a2dd15e2518c4ed02,1.0,1.0,0.0,0.0,1,1
dc4184e14bf4344ec8d6b2b999f1523b65e617b5,2.7333333333333334,2.75,0.016666666666666607,0.001388888888888884,15,16
89837f3fb310b107da6d418cffde29f3302daf63,1.0,1.0,0.0,0.0,1,1
a2ad52eef4c28b636623a1c9da0967a3361f86bd,1.8333333333333333,2.0833333333333335,0.2500000000000002,0.025000000000000022,12,12
bccd968664c20d27a01889560f8f8ee616513a75,2.5925925925925926,2.6296296296296298,0.0370370370370372,0.001763668430335105,27,27
8c79e26f6fa12a168f8a7a2214da1883249495c9,2.0,2.0,0.0,0.0,3,3
e7f381edba9569c1a74b49cd0208784a66ada8b5,2.25,1.5,-0.75,-0.10714285714285714,4,4
74e5f7a67eac9e9673b1cbc2e74a43fcd49bf447,4.0,4.0,0.0,0.0,1,1
7816fc8c37b5d10351074150f47d95b7a613e031,2.0833333333333335,2.076923076923077,-0.0064102564102563875,-0.0008012820512820484,12,13
