programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,6098ca93fbaaadf884a5f76134ab266176b719d1,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7b7fc8c800f684f24ea4061baa3fac701926df37,copilot-pr
TypeScript,pancakeswap/pancake-frontend,409ef8a2cb7af8c4ba5742e85dfbe9706b9f9bef,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2ca2ed61f762a1d0b0f7e67ebd700ca75ba65f09,copilot-pr
TypeScript,pancakeswap/pancake-frontend,362e64ef2d6a102175b587b0acc255d01488b666,copilot-pr
TypeScript,pancakeswap/pancake-frontend,63806e64aaed327133233bae2c7062eb0d4d2645,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3d1414eefc7de46a561c9fe3187c010ef303b378,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4e6c1ec9f593573c5a92df1655bd290216ca333c,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ee44a0ec8f816f936d693d5058a7427a7de1bdc5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cd05c8ea62a9559b08aa1a7443a9c21bb4d39934,copilot-pr
TypeScript,pancakeswap/pancake-frontend,363e4cfb113caf93bc09a75c02a73244fe93bac7,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b51e6cbfa9ce18f7d23bbc6a0f1e65299e0dea44,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e84e967d26c00f065d116c9679049b6300f0d53d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8c57b47a99d18ff0ef75b0b8623846a12db97ac3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cc75d613d0398a26725b7cb41b3584b04ab39ae7,copilot-pr
TypeScript,pancakeswap/pancake-frontend,c80c7604f2b8cb9bfd97279a67a4608113ba0293,copilot-pr
TypeScript,pancakeswap/pancake-frontend,d49876b0e8f86b89c665fdf2414881659a441d40,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6e2a66674dbae9c5f9aa2c175572c278245b021e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,761e8523e482c6a3fe4872001d597bb0e5d6bb4f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,95c5fb6cd545c52ea0acc37c2f38cbe9b280ebe8,copilot-pr
TypeScript,pancakeswap/pancake-frontend,789c8c59bf90de619220eaef07e2ae28c5419054,copilot-pr
TypeScript,pancakeswap/pancake-frontend,856b15d72c2610cae537ea384a382179baa57904,copilot-pr
TypeScript,pancakeswap/pancake-frontend,deb779d0f491023e7ec322d2e0befdceec4363af,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3ca5f4252f15f2f1adec4c3c3a08b87be67a2442,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2bb70e602c090a781c90da3b9436f6eab09a96b8,copilot-pr
TypeScript,pancakeswap/pancake-frontend,0832f28d87e649b52b32cfe874f2d28e010356f4,copilot-pr
TypeScript,pancakeswap/pancake-frontend,42e4f4a7d77d9a4180f633c476e1e2dc2ae2527a,copilot-pr
TypeScript,pancakeswap/pancake-frontend,a016ea8ee0827e17e5cd6e2dcb03e09bf9c05cd3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9628212e8097a4d930987c31fea97bfcf2b7891d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cd5c4d0ce40bd7ab9c6a74885ad94fee1fbd4e12,copilot-pr
